"Year","Month","Rainfall","Month_num"
1929,"Feb",14.8,2
1929,"Mar",12.8,3
1929,"Apr",39.2,4
1929,"May",168.5,5
1929,"Jun",107.1,6
1929,"Jul",578.2,7
1929,"Aug",509.1,8
1929,"Sep",274,9
1929,"Oct",3.8,10
1929,"Nov",35,11
1929,"Dec",10.8,12
1930,"Jan",57.9,1
1930,"Feb",35.1,2
1930,"Mar",183.8,3
1930,"Apr",53.1,4
1930,"May",157.6,5
1930,"Jun",311.2,6
1930,"Jul",737.5,7
1930,"Aug",154.2,8
1930,"Sep",717.9,9
1930,"Oct",10.4,10
1930,"Nov",0.9,11
1930,"Dec",22.7,12
1931,"Jan",8.4,1
1931,"Feb",13.8,2
1931,"Mar",81,3
1931,"Apr",227,4
1931,"May",304.9,5
1931,"Jun",294.4,6
1931,"Jul",251,7
1931,"Aug",362.3,8
1931,"Sep",341.5,9
1931,"Oct",18.5,10
1931,"Nov",24.7,11
1931,"Dec",116,12
1932,"Jan",0.01,1
1932,"Feb",64.9,2
1932,"Mar",56,3
1932,"Apr",93.8,4
1932,"May",63.9,5
1932,"Jun",643.1,6
1932,"Jul",653.6,7
1932,"Aug",531.1,8
1932,"Sep",110.2,9
1932,"Oct",2.2,10
1932,"Nov",2.5,11
1932,"Dec",104.6,12
1933,"Jan",12.3,1
1933,"Feb",2.7,2
1933,"Mar",25.9,3
1933,"Apr",48.8,4
1933,"May",114.7,5
1933,"Jun",417.6,6
1933,"Jul",363.9,7
1933,"Aug",44.2,8
1933,"Sep",319.4,9
1933,"Oct",95.2,10
1933,"Nov",105.4,11
1933,"Dec",35.1,12
1934,"Jan",12.1,1
1934,"Feb",38.4,2
1934,"Mar",44.3,3
1934,"Apr",62.4,4
1934,"May",222.2,5
1934,"Jun",637.5,6
1934,"Jul",493.8,7
1934,"Aug",618.9,8
1934,"Sep",272.9,9
1934,"Oct",56.3,10
1934,"Nov",10.3,11
1934,"Dec",13.8,12
1935,"Jan",28,1
1935,"Feb",28.7,2
1935,"Mar",118.8,3
1935,"Apr",62,4
1935,"May",120.4,5
1935,"Jun",367.2,6
1935,"Jul",565.4,7
1935,"Aug",153.1,8
1935,"Sep",188.1,9
1935,"Oct",147.6,10
1935,"Nov",9.3,11
1935,"Dec",26.5,12
1936,"Jan",14.8,1
1936,"Feb",85.1,2
1936,"Mar",11.8,3
1936,"Apr",117.1,4
1936,"May",258.5,5
1936,"Jun",144.9,6
1936,"Jul",224,7
1936,"Aug",541.2,8
1936,"Sep",314.3,9
1936,"Oct",48,10
1936,"Nov",4.2,11
1936,"Dec",9.8,12
1937,"Jan",70.4,1
1937,"Feb",8.2,2
1937,"Mar",87.6,3
1937,"Apr",57.7,4
1937,"May",282.6,5
1937,"Jun",337.1,6
1937,"Jul",490.4,7
1937,"Aug",365,8
1937,"Sep",317.9,9
1937,"Oct",38.2,10
1937,"Nov",26.3,11
1937,"Dec",15.2,12
1938,"Jan",9,1
1938,"Feb",118.9,2
1938,"Mar",145.9,3
1938,"Apr",47.1,4
1938,"May",221,5
1938,"Jun",76.1,6
1938,"Jul",310.8,7
1938,"Aug",200.1,8
1938,"Sep",108.9,9
1938,"Oct",154.2,10
1938,"Nov",13.6,11
1938,"Dec",0.2,12
1939,"Jan",28.2,1
1939,"Feb",0.5,2
1939,"Mar",90.1,3
1939,"Apr",401.3,4
1939,"May",532.8,5
1939,"Jun",219.1,6
1939,"Jul",322.7,7
1939,"Aug",325.8,8
1939,"Sep",123.9,9
1939,"Oct",35.7,10
1939,"Nov",122.6,11
1939,"Dec",0.01,12
1947,"Jan",66.1,1
1947,"Feb",13,2
1947,"Mar",72.4,3
1947,"Apr",60.4,4
1947,"May",185.2,5
1947,"Jun",549.5,6
1947,"Jul",579.6,7
1947,"Aug",574.7,8
1947,"Sep",449.5,9
1947,"Oct",17.9,10
1947,"Nov",14.3,11
1947,"Dec",8.9,12
1948,"Jan",31.6,1
1948,"Feb",4.3,2
1948,"Mar",20.2,3
1948,"Apr",154,4
1948,"May",232.3,5
1948,"Jun",435.9,6
1948,"Jul",607,7
1948,"Aug",313.4,8
1948,"Sep",580.5,9
1948,"Oct",79.5,10
1948,"Nov",3.9,11
1948,"Dec",20.2,12
1949,"Jan",2,1
1949,"Feb",126,2
1949,"Mar",4.2,3
1949,"Apr",132.2,4
1949,"May",116,5
1949,"Jun",543.5,6
1949,"Jul",170.3,7
1949,"Aug",357.4,8
1949,"Sep",432.3,9
1949,"Oct",77.8,10
1949,"Nov",129.3,11
1949,"Dec",10.2,12
1950,"Jan",39.4,1
1950,"Feb",32,2
1950,"Mar",36.4,3
1950,"Apr",166.3,4
1950,"May",390.6,5
1950,"Jun",272.4,6
1950,"Jul",343.5,7
1950,"Aug",296.9,8
1950,"Sep",252.6,9
1950,"Oct",182.6,10
1950,"Nov",58.8,11
1950,"Dec",4,12
1951,"Jan",32.1,1
1951,"Feb",24.4,2
1951,"Mar",96.1,3
1951,"Apr",172.5,4
1951,"May",553.8,5
1951,"Jun",560.9,6
1951,"Jul",209.4,7
1951,"Aug",480.5,8
1951,"Sep",69.9,9
1951,"Oct",82.7,10
1951,"Nov",69.6,11
1951,"Dec",12,12
1952,"Jan",23.9,1
1952,"Feb",30.1,2
1952,"Mar",36.4,3
1952,"Apr",194.2,4
1952,"May",184.4,5
1952,"Jun",596.6,6
1952,"Jul",187.3,7
1952,"Aug",410.8,8
1952,"Sep",844.2,9
1952,"Oct",13,10
1952,"Nov",8.4,11
1952,"Dec",15,12
1953,"Jan",29.9,1
1953,"Feb",56.5,2
1953,"Mar",133.2,3
1953,"Apr",113,4
1953,"May",364.3,5
1953,"Jun",405.4,6
1953,"Jul",150.2,7
1953,"Aug",349.2,8
1953,"Sep",583.6,9
1953,"Oct",43.4,10
1953,"Nov",53.3,11
1953,"Dec",78.2,12
1954,"Jan",49.1,1
1954,"Feb",29.9,2
1954,"Mar",49.3,3
1954,"Apr",156.1,4
1954,"May",78.9,5
1954,"Jun",218.6,6
1954,"Jul",157.7,7
1954,"Aug",265.4,8
1954,"Sep",223.3,9
1954,"Oct",24.7,10
1954,"Nov",113,11
1954,"Dec",1,12
1955,"Jan",3.7,1
1955,"Feb",0.1,2
1955,"Mar",52.6,3
1955,"Apr",173.6,4
1955,"May",440.9,5
1955,"Jun",293.9,6
1955,"Jul",619,7
