"Day","Month","WindSpeed","Year"
12,"Oct",26.3,2013
13,"Oct",41.6,2013
14,"Oct",39.8,2013
15,"Oct",25.7,2013
16,"Oct",40.1,2013
17,"Oct",39.5,2013
18,"Oct",29.5,2013
19,"Oct",17.1,2013
20,"Oct",15.6,2013
21,"Oct",16.3,2013
22,"Oct",14.1,2013
23,"Oct",19.3,2013
24,"Oct",25.3,2013
25,"Oct",31.6,2013
26,"Oct",24.1,2013
27,"Oct",28.5,2013
28,"Oct",28.8,2013
29,"Oct",24,2013
30,"Oct",23.8,2013
31,"Oct",20.9,2013
1,"Nov",17,2013
2,"Nov",32.5,2013
3,"Nov",39.8,2013
4,"Nov",29.4,2013
