"Day","Month","Rainfall","Year"
7,"Jan",0.01,2014
8,"Jan",0.01,2014
9,"Jan",0,2014
10,"Jan",0.01,2014
11,"Jan",0,2014
12,"Jan",0,2014
13,"Jan",0,2014
14,"Jan",0,2014
15,"Jan",0,2014
16,"Jan",0,2014
17,"Jan",0,2014
18,"Jan",0,2014
19,"Jan",0,2014
20,"Jan",0,2014
21,"Jan",0,2014
22,"Jan",0,2014
23,"Jan",0,2014
24,"Jan",0,2014
25,"Jan",0,2014
26,"Jan",0,2014
27,"Jan",0,2014
28,"Jan",0,2014
29,"Jan",0,2014
30,"Jan",0,2014
31,"Jan",0,2014
1,"Feb",0,2014
2,"Feb",0,2014
3,"Feb",0,2014
4,"Feb",0.01,2014
5,"Feb",0.01,2014
6,"Feb",0.01,2014
7,"Feb",0.01,2014
8,"Feb",0.3,2014
9,"Feb",13.1,2014
10,"Feb",0.3,2014
11,"Feb",0.01,2014
12,"Feb",0.4,2014
13,"Feb",21.4,2014
14,"Feb",0,2014
15,"Feb",0.01,2014
16,"Feb",0.01,2014
17,"Feb",0,2014
18,"Feb",0.01,2014
19,"Feb",3.8,2014
20,"Feb",0,2014
21,"Feb",0,2014
22,"Feb",0.2,2014
23,"Feb",0,2014
24,"Feb",0.01,2014
25,"Feb",0,2014
26,"Feb",0.01,2014
27,"Feb",0.01,2014
28,"Feb",0.01,2014
1,"Mar",0,2014
2,"Mar",0.6,2014
3,"Mar",0.01,2014
4,"Mar",0.1,2014
5,"Mar",0.1,2014
6,"Mar",0.01,2014
7,"Mar",0.1,2014
8,"Mar",0.9,2014
9,"Mar",0.01,2014
10,"Mar",0.01,2014
11,"Mar",0.3,2014
12,"Mar",0.1,2014
13,"Mar",0.3,2014
14,"Mar",0.4,2014
15,"Mar",0.01,2014
16,"Mar",0,2014
17,"Mar",0.01,2014
18,"Mar",0,2014
19,"Mar",0,2014
20,"Mar",0,2014
21,"Mar",0.01,2014
22,"Mar",0,2014
23,"Mar",0,2014
24,"Mar",0,2014
25,"Mar",0,2014
26,"Mar",0.01,2014
27,"Mar",0,2014
28,"Mar",0.01,2014
29,"Mar",19,2014
30,"Mar",103.1,2014
31,"Mar",82.6,2014
1,"Apr",8,2014
2,"Apr",24.4,2014
3,"Apr",42.3,2014
4,"Apr",0,2014
5,"Apr",0,2014
6,"Apr",9.3,2014
7,"Apr",0.01,2014
8,"Apr",27.5,2014
9,"Apr",0.01,2014
10,"Apr",0.01,2014
11,"Apr",0.01,2014
12,"Apr",0,2014
13,"Apr",0,2014
14,"Apr",0.4,2014
15,"Apr",0,2014
16,"Apr",0,2014
17,"Apr",0,2014
18,"Apr",0,2014
19,"Apr",0,2014
20,"Apr",0,2014
21,"Apr",0.6,2014
22,"Apr",0.01,2014
23,"Apr",13.3,2014
24,"Apr",1.5,2014
25,"Apr",1.7,2014
26,"Apr",2.7,2014
27,"Apr",0,2014
28,"Apr",0,2014
29,"Apr",0,2014
30,"Apr",0.7,2014
1,"May",2.8,2014
2,"May",0.01,2014
3,"May",0.2,2014
4,"May",7.3,2014
5,"May",26.6,2014
6,"May",1,2014
7,"May",3.2,2014
8,"May",106.3,2014
9,"May",89.1,2014
10,"May",12.5,2014
11,"May",164.5,2014
12,"May",40.9,2014
13,"May",57.5,2014
14,"May",2,2014
15,"May",2.8,2014
16,"May",18.8,2014
17,"May",10.7,2014
18,"May",1.2,2014
19,"May",0.7,2014
20,"May",53.2,2014
21,"May",47.1,2014
22,"May",0.01,2014
23,"May",33.1,2014
24,"May",0,2014
25,"May",3.6,2014
26,"May",0.01,2014
27,"May",0,2014
28,"May",0,2014
29,"May",0.01,2014
30,"May",2.2,2014
31,"May",0.01,2014
1,"Jun",3.7,2014
2,"Jun",0,2014
3,"Jun",0.01,2014
4,"Jun",0,2014
5,"Jun",0.2,2014
6,"Jun",17.2,2014
7,"Jun",7.6,2014
8,"Jun",57.6,2014
9,"Jun",0.01,2014
10,"Jun",0.01,2014
11,"Jun",0.01,2014
12,"Jun",0,2014
13,"Jun",0,2014
14,"Jun",0.01,2014
15,"Jun",9.9,2014
16,"Jun",3.8,2014
17,"Jun",1.1,2014
18,"Jun",6,2014
19,"Jun",10.5,2014
20,"Jun",29.2,2014
21,"Jun",47.6,2014
22,"Jun",114.9,2014
23,"Jun",41.5,2014
24,"Jun",45.9,2014
25,"Jun",18.5,2014
26,"Jun",0.1,2014
27,"Jun",0,2014
28,"Jun",0,2014
29,"Jun",20.4,2014
30,"Jun",0.9,2014
1,"Jul",13.9,2014
2,"Jul",0.01,2014
3,"Jul",0.1,2014
